plotID,individual,speciesName,stem,circumference,dbh
7,12,Eucalyptus rubida,A,70.3,22.377185
7,17,Eucalyptus rubida,A,49.9,15.88366332
7,18,Eucalyptus rubida,A,41.6,13.24169127
7,19,Eucalyptus rubida,A,73.9,23.52310059
7,21,Eucalyptus rubida,A,37,11.77746579
7,22,Eucalyptus rubida,A,44.3,14.10112796
7,24,Eucalyptus rubida,A,52.4,16.67943804
7,25,Eucalyptus rubida,A,49.5,15.75633937
7,26,Eucalyptus rubida,A,36.7,11.68197282
7,29,Eucalyptus rubida,A,73.3,23.33211466
7,6,Eucalyptus rubida,A,73.7,23.45943861
7,6,Eucalyptus rubida,B,32.4,10.31324031
7,13,Eucalyptus rubida,A,42,13.36901522
7,20,Eucalyptus rubida,A,50.7,16.13831123
7,20,Eucalyptus rubida,B,60.2,19.16225515
7,20,Eucalyptus rubida,C,41.8,13.30535324
7,20,Eucalyptus rubida,D,52.3,16.64760705
7,20,Eucalyptus rubida,E,57.8,18.39831142
8,32,Acacia dealbata,A,32.5,10.3450713
8,3,Acacia melanoxylon,A,82.7,26.32422759
8,4,Acacia melanoxylon,A,97.7,31.09887588
8,7,Acacia melanoxylon,A,84.5,26.89718538
8,10,Acacia melanoxylon,A,129.9,41.34845422
8,12,Acacia melanoxylon,A,95.7,30.46225611
8,15,Acacia melanoxylon,A,79.1,25.178312
8,41,Acacia melanoxylon,A,118.9,37.84704547
8,42,Acacia melanoxylon,A,76.5,24.35070629
8,1,Eucalyptus camphora subsp. humeana,A,108.4,34.50479166
8,2,Eucalyptus camphora subsp. humeana,A,225,71.61972439
8,6,Eucalyptus camphora subsp. humeana,A,98.9,31.48084774
8,11,Eucalyptus camphora subsp. humeana,A,145,46.1549335
8,17,Eucalyptus camphora subsp. humeana,A,168,53.47606088
8,20,Eucalyptus camphora subsp. humeana,A,71,22.60000192
8,21,Eucalyptus camphora subsp. humeana,A,175,55.70423008
8,23,Eucalyptus camphora subsp. humeana,A,86.5,27.53380515
8,24,Eucalyptus camphora subsp. humeana,A,100.5,31.99014356
8,25,Eucalyptus camphora subsp. humeana,A,215,68.43662553
8,26,Eucalyptus camphora subsp. humeana,A,70.3,22.377185
8,27,Eucalyptus camphora subsp. humeana,A,105.2,33.48620003
