,maxheight,seedmass,SLA,woody,flowering.period,WD,,Strategy,Mode of Seed Dispersal,Reproductive Technique,,,,,
Rubus parvifolius,-0.22184875,-1.59946207,3.140265424,1,0.5,NA,,P,A,SSuRf,,,,,
Sida rhombifolia,0,1.372952098,3.160822893,1,0.75,NA,,P,AH,0,,,,,
Solanum americanum,0.113943352,-0.76121314,2.708050201,0,1,NA,,AB,A,S,,,,,
Solanum mauritianum,0.602059991,0.042644337,3.00221124,1,0.75,0.449,,P,A,S,,,,,
Stellaria flaccida,-0.698970004,-1.251538767,3.879912952,0,0.416666667,NA,,P,U,S,,,,,
Syzygium oleosum,1.176091259,7.758156576,2.309560707,1,0.833333333,0.581,,0,A,S,,,,,
Tagetes minuta,0.301029996,0.23878686,3.914819093,0,0.25,NA,,A,W,S,,,,,
Tradescantia fluminensis,-0.698970004,1.589763487,3.837514953,0,0.5,NA,,P,U,SV,,,,,
Trema tomentosa var. aspera,0.77815125,2.280956314,3.869115504,1,0.333333333,0.331,,P,A,S,,,,,
Tristaniopsis laurina,1.477121255,3.358958826,2.012232792,1,0.166666667,0.654,,P,W,S,,,,,
Urtica incisa,0,-2.058893689,3.702535781,0,1,NA,,P,U,S,,,,,
Viola hederacea,-0.698970004,-0.514573173,3.143289838,0,0.5,NA,,P,0,S,,,,,
Xanthium occidentale,0.301029996,5.646162657,3.884651809,0,0.5,NA,,P,AW,S,,,,,
