"","Label","Site","meanArea","sdArea","count"
"103","castor oil plant - 3b.jpg","Mann",13019.904,5334.71902740079,2
"104","castor oil plant - 4a.jpg","Mann",12011.191,2589.9638480724,2
"105","castor oil plant - 4b.jpg","Mann",16434.4995,7355.62384407091,2
"106","castor oil plant - 5.jpg","Mann",14550.983,8211.71448851956,2
"107","cataract sally wattle - 1.jpg","Cataract",299.098461538462,95.914517928927,26
"108","cataract sally wattle - 2.jpg","Cataract",287.025555555556,42.5273336631481,18
"109","cataract sally wattle - 3.jpg","Cataract",234.889411764706,62.7236612522129,17
"110","cataract sally wattle - 4.jpg","Cataract",227.444736842105,59.5148380535309,19
"111","cataract sally wattle - 5.jpg","Cataract",247.012777777778,40.0331663683642,18
"112","centella asiatica - 1.jpg","Mann",833.253615384615,150.696444454594,13
"113","centella asiatica - 2.jpg","Mann",602.0229375,187.695920171775,16
"114","centella asiatica - 3.jpg","Mann",583.803894736842,119.877583551302,19
"115","centella asiatica - 4.jpg","Mann",563.2788125,157.891116370837,16
"116","centella asiatica - 5.jpg","Mann",501.463583333333,75.7594164569759,12
"117","cheese tree - 1.jpg","Jilliby",4623.92816666667,476.376755586339,6
"118","cheese tree - 2.jpg","Jilliby",1477.87555555556,110.366577278983,9
"119","cheese tree - 3.jpg","Jilliby",5042.1376,2163.02787720797,5
"120","cheese tree - 4.jpg","Jilliby",4204.8415,792.689140102916,6
"121","cheese tree - 5.jpg","Jilliby",4087.57866666667,304.225888629924,6
"122","climber 1 - 1.jpg","Wallagaraugh",939.651666666667,205.60477904526,9
"123","climber 1 - 2.jpg","Wallagaraugh",1747.30766666667,520.07272749179,9
"124","climber 1 - 3.jpg","Wallagaraugh",1016.880375,113.23871245034,8
"125","climber 1 - 5_0002.jpg","Wallagaraugh",1741.8795,357.026120003425,6
"126","clmber 1 - 4.jpg","Wallagaraugh",1125.87528571429,260.790438051139,7
"127","common sedge grass - 1--.jpg","Genoa",485.2456,236.020914923051,15
"128","common sedge grass - 2.jpg","Genoa",312.253111111111,102.76859106318,9
"129","common sedge grass - 3.jpg","Genoa",512.948583333333,150.716009320032,12
"130","common sedge grass - 4.jpg","Genoa",403.469230769231,134.000028676088,13
"131","common sedge grass - 5.jpg","Genoa",244.090222222222,70.772120456748,9
"132","daisy - 1.jpg","Wallagaraugh",137.327444444444,35.4620668174787,18
"133","daisy - 2.jpg","Wallagaraugh",133.610571428571,71.657457371017,14
"134","daisy - 3.jpg","Wallagaraugh",110.935166666667,25.8190449799459,18
"135","daisy - 4.jpg","Wallagaraugh",85.0809333333333,35.0288750226493,15
"136","daisy - 5.jpg","Wallagaraugh",236.37905,57.4232856284434,20
"137","dendrocnide - 1a.jpg","Jilliby",10642.13275,2466.63703361241,4
"138","dendrocnide - 1b.jpg","Jilliby",6457.808,NA,1
"139","dendrocnide - 2.jpg","Jilliby",4007.297,1103.87797784357,5
"140","dendrocnide - 3a.jpg","Jilliby",6881.95414285714,5585.73280569737,7
"141","dendrocnide - 4.jpg","Jilliby",7776.28075,3283.44995736135,4
"142","dendrocnide - 5.jpg","Jilliby",5273.1402,1638.8675111702,5
"143","dichondra 1.jpg","Wadbilliga",622.626,162.710935419842,11
"144","dichondra 2.jpg","Wadbilliga",863.315444444444,216.615360162957,9
"145","dichondra 3.jpg","Wadbilliga",525.070642857143,162.184313056571,14
"146","dichondra 4.jpg","Wadbilliga",618.177375,135.738706784066,8
"147","dichondra 5.jpg","Wadbilliga",443.941818181818,93.9668893342949,11
"148","dionella - 1.jpg","Wallagaraugh",538.082411764706,246.590970287098,17
"149","dionella - 2.jpg","Wallagaraugh",670.3342,237.356986807756,15
"150","dionella - 3.jpg","Wallagaraugh",992.7154,216.940043289714,15
"151","dionella - 4.jpg","Wallagaraugh",944.45,264.465640244626,15
"152","dionella - 5.jpg","Wallagaraugh",936.166428571429,951.380415994385,14
"153","Duboisia myoporoides - 1.jpg","Sportsmans",1600.85641666667,349.971715864286,12
"154","Duboisia myoporoides - 2.jpg","Sportsmans",1406.32215384615,487.368705359684,13
"155","Duboisia myoporoides - 3.jpg","Sportsmans",1393.09381818182,383.73469681378,11
"156","Duboisia myoporoides - 4.jpg","Sportsmans",1722.25988888889,292.383491572902,9
"157","Duboisia myoporoides - 5.jpg","Sportsmans",1936.40911111111,897.267496726233,9
"158","eucalypt - 1.jpg","Genoa",2024.484625,307.698058432027,8
"159","eucalypt - 2.jpg","Genoa",2650.19616666667,564.354974329248,6
"160","eucalypt - 3.jpg","Genoa",2476.0988,113.93391803234,5
"161","eucalyptus vimnalis - 1.jpg","Goodradigbee",3531.22842857143,744.614687781284,7
"162","eucalyptus vimnalis - 2.jpg","Goodradigbee",3297.75414285714,1333.12229549661,7
"163","eucalyptus vimnalis - 3.jpg","Goodradigbee",6334.3275,3695.94339643079,4
"164","eucalyptus vimnalis - 4.jpg","Goodradigbee",3289.56933333333,660.617807350564,6
"165","fat leaf acacia - 1.jpg","Jacobs",1286.62175,439.157310105469,8
"166","fat leaf acacia - 2.jpg","Jacobs",1481.17325,996.989801420649,8
"167","fat leaf acacia - 3.jpg","Jacobs",928.183333333333,214.835936622401,12
"168","fat leaf acacia - 4.jpg","Jacobs",1268.356375,193.766487069165,8
"169","fat leaf acacia - 5.jpg","Jacobs",1481.3825,260.526054415655,10
"170","felt leaf - 1.jpg","Cataract",2545.52,396.623209146078,7
"171","felt leaf - 2.jpg","Cataract",1628.92363636364,255.845879047239,11
"172","felt leaf - 3.jpg","Cataract",1552.765,669.02432661981,12
"173","felt leaf - 4.jpg","Cataract",1390.08333333333,297.073291517991,12
"174","felt leaf - 5.jpg","Cataract",1426.681,345.340066872898,10
"175","furry tree - 1.jpg","Genoa",3259.5134,377.481444580128,5
"176","furry tree - 2.jpg","Genoa",3088.66966666667,479.844731682517,6
"177","furry tree - 3.jpg","Genoa",2559.92357142857,232.844144998221,7
"178","furry tree - 4.jpg","Genoa",5715.5325,1186.95179458439,6
"179","furry tree - 5.jpg","Genoa",4119.80916666667,594.157861812975,6
"180","geitnoplesium - 1.jpg","Sportsmans",232.707777777778,106.542631864132,18
"181","geitnoplesium - 2.jpg","Sportsmans",293.542684210526,67.9048231743459,19
"182","geitnoplesium - 3.jpg","Sportsmans",318.987157894737,120.095502311592,19
"183","geitnoplesium - 4.jpg","Sportsmans",296.843777777778,77.5515433832505,18
"184","geitnoplesium - 5.jpg","Sportsmans",466.776,106.373535983463,17
"185","gibbo leucopogon - 1 .jpg","Gibbo",28.6073493975904,9.3321987951416,83
"186","gibbo leucopogon - 2.jpg","Gibbo",27.0709900990099,7.91142610468561,101
"187","gibbo leucopogon - 3.jpg","Gibbo",22.246,5.32482556892238,110
"188","gibbo leucopogon - 4.jpg","Gibbo",25.2208219178082,3.94620695289394,73
"189","gibbo leucopogon - 5.jpg","Gibbo",26.7151282051282,8.26410241943554,39
"190","gibbo sedge grass - 1.jpg","Gibbo",288.4725,80.6740067449592,8
"191","gibbo sedge grass - 2.jpg","Gibbo",327.551111111111,83.9295212431902,9
"192","gibbo sedge grass - 4.jpg","Gibbo",292.043333333333,61.095584333076,9
"193","gibbo sedge grass - 5.jpg","Gibbo",332.8525,77.2644613833368,8
"194","gibbo tea tree 1 - 1.jpg","Gibbo",29.68484375,19.8767038396902,64
"195","gibbo tea tree 1 - 2.jpg","Gibbo",29.8347272727273,12.2350505689287,55
"196","gibbo tea tree 1 - 3.jpg","Gibbo",33.8467441860465,14.034467048583,43
"197","gibbo tea tree 1 - 4.jpg","Gibbo",47.2610344827586,8.94435629913698,29
"198","gibbo tea tree 1 - 5.jpg","Gibbo",24.18,7.37212110353712,47
"199","glycine microphylla 1.jpg","Wadbilliga",269.555785714286,117.45611726361,14
"200","glycine microphylla 2.jpg","Wadbilliga",397.485285714286,165.909088105217,7
"201","glycine microphylla 3.jpg","Wadbilliga",211.348307692308,72.2795307773746,13
"202","glycine microphylla 4.jpg","Wadbilliga",170.589571428571,92.2281198945621,7
"203","hovea sp - 1.jpg","Goodradigbee",313.638538461538,69.1120438292666,26
"204","hovea sp - 2.jpg","Goodradigbee",252.208066666667,51.2819603079863,30
"205","hovea sp - 3.jpg","Goodradigbee",228.57275,72.0596118497372,24
"206","hovea sp - 4.jpg","Goodradigbee",264.357333333333,35.6263773515552,30
"207","hovea sp - 5.jpg","Goodradigbee",89.1007857142857,34.7533196214269,42
"208","hydrocotyle peduncularis 1.jpg","Wadbilliga",687.907777777778,240.293059138096,9
"209","hydrocotyle peduncularis 2.jpg","Wadbilliga",460.662909090909,267.643389230317,11
"210","hydrocotyle peduncularis 3.jpg","Wadbilliga",808.1253,224.461401308926,10
"211","hydrocotyle peduncularis 4.jpg","Wadbilliga",1008.34233333333,442.870760282802,6
"212","hydrocotyle peduncularis 5.jpg","Wadbilliga",868.308571428571,199.637975861188,7
"213","hymenathera 1 [.jpg","Wadbilliga",72.4281111111111,16.5121156971138,27
"214","hymenathera 2.jpg","Wadbilliga",78.0093913043478,15.8220956281775,23
"215","hymenathera 3.jpg","Wadbilliga",102.3154,21.9986798107674,25
"216","hymenathera 4.jpg","Wadbilliga",72.4607741935484,19.1138209710664,31
"217","hymenathera 5.jpg","Wadbilliga",112.085090909091,27.3077091852049,22
"218","lemon herb - 1a.jpg","Mann",11231.982,NA,1
"219","lemon herb - 1b.jpg","Mann",4935.5705,1987.54210452018,2
"220","lemon herb - 2a.jpg","Mann",6992.1435,2550.0144362557,2
